Comment,Designator,Footprint,LCSC Part #
0.1 uF,C5 C6 C7 C8 C9,C0603,C14663
0.1uF,C2 C4 C96,C0603,C14663
2p-2.54,J17 J23 J24 J32 J34 J38 J42 J43 OJ41 OJ42 OJ43 OJ44 OJ57 OJ58 OJ59 OJ60 OJ73 OJ74 OJ75 OJ76,H2-2.54,
4.7 uF,C13,C0603,C19666
4p-2.54,J7 J12,H4-2.54,
10 nF,C1 C3,C0603,C57112
10k,R17,AXIAL-0.3,
27,R10 R12,R0603,C25190
30Ω,FB1,0603,C1002
47pF,C10 C12,C0603,C1671
49.9,R5 R6,R0603,C23185
50,R22 R23 R32 R161,AXIAL-0.3,
82,R2 R3 R11 R16,R0603,C23255
100,R7 R9,R0603,C22775
130,R1 R4 R14 R15,R0603,C22796
330k,R13 R18 R19 R20,R0603,C23137
560,R8,R0805,C28636
10118192-0002LF,J1,AMPHENOL_10118192-0002LF,C132564
BU-SMB-V,A6 B6 C11 C16 CLK-IN+ CLK-IN- CLK_OUT+ CLK_OUT- E7 E11 F9 J13 K15P K16N L15_R11P L16_R11N N11 P9 P11 P15 P16_R15N R13P R16_R15P T13N,BU-SMB-V,C496549
FT230XQ,U2,QFN16,C128629
LTC6957IDD-2TRPBF,U1,DFN-12_DD_LIT,C689878
SN74LVTH244ARGYR,U3 U4 U5,RGY20_3P05X2P05,C2869480
SWS004,S2,SMS-004,C221954
red,LED1,SML0805,C84256
