Designator,Mid X,Mid Y,Layer,Rotation,Type
A6,98.02,54.05,Top,0.0,TH
B6,107.96,54.05,Top,0.0,TH
C1,-12.30,50.05,Top,270.0,SMD
C2,87.00,76.00,Top,270.0,SMD
C3,-6.09,50.09,Top,90.0,SMD
C4,87.00,96.00,Top,270.0,SMD
C5,28.83,43.22,Top,270.0,SMD
C6,42.20,51.58,Top,0.0,SMD
C7,-14.65,57.95,Top,180.0,SMD
C8,-15.15,54.77,Top,0.0,SMD
C9,42.07,49.22,Top,0.0,SMD
C10,32.91,43.30,Top,270.0,SMD
C11,63.93,93.95,Top,180.0,TH
C12,39.46,42.68,Top,270.0,SMD
C13,30.00,46.00,Top,180.0,SMD
C14,12.07,92.71,Top,90.0,SMD
C15,56.13,67.69,Top,0.0,SMD
C16,107.96,74.05,Top,0.0,TH
C96,87.00,56.00,Top,270.0,SMD
CLK-IN+,-14.33,44.30,Top,180.0,TH
CLK-IN-,-3.64,44.30,Top,180.0,TH
CLK_OUT+,-14.00,71.00,Top,0.0,TH
CLK_OUT-,-5.00,71.00,Top,0.0,TH
E7,98.02,74.05,Top,0.0,TH
E11,107.96,94.05,Top,0.0,TH
F9,63.93,73.95,Top,180.0,TH
FB1,30.67,43.22,Top,90.0,SMD
J1,35.81,38.79,Top,0.0,SMD
J7,-8.00,107.00,Top,90.0,TH
J12,-21.00,107.00,Top,90.0,TH
J13,73.88,93.95,Top,180.0,TH
J17,-36.00,65.00,Top,90.0,TH
J23,-25.46,45.55,Top,90.0,TH
J24,-35.98,45.55,Top,90.0,TH
J32,-26.05,84.79,Top,90.0,TH
J34,-15.95,84.79,Top,90.0,TH
J38,-25.31,64.79,Top,90.0,TH
J42,-5.95,84.79,Top,90.0,TH
J43,-36.00,85.00,Top,90.0,TH
K15P,-34.94,51.41,Top,180.0,TH
K16N,-24.42,51.41,Top,180.0,TH
L15_R11P,-35.10,90.60,Top,180.0,TH
L16_R11N,-25.02,90.65,Top,180.0,TH
LED1,95.00,105.00,Top,180.0,SMD
N11,63.93,53.95,Top,180.0,TH
OJ41,74.92,48.04,Top,90.0,TH
OJ42,64.97,48.04,Top,90.0,TH
OJ43,99.02,48.04,Top,90.0,TH
OJ44,109.07,48.04,Top,90.0,TH
OJ57,74.92,68.04,Top,90.0,TH
OJ58,64.97,68.04,Top,90.0,TH
OJ59,99.02,68.04,Top,90.0,TH
OJ60,109.07,68.04,Top,90.0,TH
OJ73,74.92,88.04,Top,90.0,TH
OJ74,64.97,88.04,Top,90.0,TH
OJ75,99.02,88.04,Top,90.0,TH
OJ76,109.07,88.04,Top,90.0,TH
P9,73.88,53.95,Top,180.0,TH
P11,98.02,94.05,Top,0.0,TH
P15,73.88,73.95,Top,180.0,TH
P16_R15N,-4.91,90.65,Top,180.0,TH
R1,-7.00,97.00,Top,180.0,SMD
R2,-3.00,97.00,Top,180.0,SMD
R3,-13.00,97.00,Top,0.0,SMD
R4,-17.00,97.00,Top,0.0,SMD
R5,-14.89,50.04,Top,90.0,SMD
R6,-3.53,50.09,Top,270.0,SMD
R7,12.54,57.24,Top,90.0,SMD
R8,101.00,105.00,Top,0.0,SMD
R9,39.92,103.91,Top,90.0,SMD
R10,37.33,44.31,Top,90.0,SMD
R11,-32.68,96.68,Top,0.0,SMD
R12,35.25,43.30,Top,90.0,SMD
R13,25.00,52.00,Top,270.0,SMD
R13P,-34.90,70.60,Top,180.0,TH
R14,-37.57,96.68,Top,0.0,SMD
R15,-27.00,97.00,Top,180.0,SMD
R16,-23.00,97.00,Top,180.0,SMD
R16_R15P,-14.91,90.65,Top,180.0,TH
R17,48.50,108.10,Top,0.0,TH
R18,21.00,52.00,Top,270.0,SMD
R19,18.00,52.00,Top,270.0,SMD
R20,15.00,52.00,Top,270.0,SMD
R22,-24.46,56.76,Top,180.0,TH
R23,-35.03,56.76,Top,180.0,TH
R32,-24.37,76.00,Top,180.0,TH
R161,-35.00,76.00,Top,180.0,TH
S2,20.00,42.00,Top,180.0,SMD
T13N,-24.28,70.65,Top,180.0,TH
U1,-10.00,57.00,Top,270.0,SMD
U2,37.69,50.20,Top,270.0,SMD
U3,86.00,91.00,Top,270.0,SMD
U4,86.00,71.00,Top,270.0,SMD
U5,86.00,51.00,Top,270.0,SMD
